Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,19/09/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Aruba,ABW,Control of Corruption: Estimate,CC.EST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.165965319,1.269663095,1.25131321,1.26187098,1.27677536,1.109147549,1.121295571,1.10294652,1.095235944,1.1194067,1.014231563,1.294156194,1.28040731,1.287307858,1.247948408,1.213881969,1.23236239,0.834079266,
Africa Eastern and Southern,AFE,Control of Corruption: Estimate,CC.EST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,Control of Corruption: Estimate,CC.EST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.291704774,,-1.176012278,,-1.271724224,,-1.251137018,-1.344179749,-1.35064733,-1.447252393,-1.446292281,-1.61325109,-1.672095537,-1.552298784,-1.645391107,-1.600470781,-1.430372834,-1.445908427,-1.364742875,-1.348587155,-1.534049273,-1.521725655,-1.489771724,-1.407710433,-1.480537772,-1.1423769,
Africa Western and Central,AFW,Control of Corruption: Estimate,CC.EST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,Control of Corruption: Estimate,CC.EST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.16770184,,-1.180450678,,-1.197514296,,-1.155492663,-1.335463285,-1.377568841,-1.323181987,-1.241037726,-1.307493567,-1.308764577,-1.397766113,-1.332474947,-1.367469072,-1.302401423,-1.336874723,-1.457798243,-1.409269571,-1.467879415,-1.428053498,-1.180501461,-1.078113675,-0.953371167,-0.655345798,
Albania,ALB,Control of Corruption: Estimate,CC.EST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.893903494,,-0.992024779,,-0.855563641,,-0.845340908,-0.853786588,-0.723731816,-0.813263893,-0.790545285,-0.706940055,-0.60521239,-0.54527092,-0.531616509,-0.701794147,-0.778729439,-0.750955939,-0.586141348,-0.520959854,-0.44898048,-0.45825699,-0.524145126,-0.543374062,-0.551931083,-0.555924177,
Andorra,AND,Control of Corruption: Estimate,CC.EST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.318143249,,1.334758759,,1.313403845,,1.310743809,1.33278954,1.119150281,1.269663095,1.25131321,1.26187098,1.27677536,1.317764997,1.301772714,1.272298098,1.260530829,1.253548503,1.220708609,1.215440273,1.223311424,1.237865448,1.234533429,1.2310431,1.311400652,1.325616956,
Arab World,ARB,Control of Corruption: Estimate,CC.EST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,ARE,Control of Corruption: Estimate,CC.EST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.005579059,,0.033033475,,0.103345223,,1.111619234,0.826036751,1.039477348,0.990808547,0.885872543,1.00609827,1.071450472,0.906304717,0.890833914,1.070487618,1.155736208,1.273586392,1.19904685,1.068665862,1.166215658,1.1292243,1.147508383,1.102937222,1.111247301,1.178225279,
Argentina,ARG,Control of Corruption: Estimate,CC.EST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.101317152,,-0.2034816,,-0.172407657,,-0.417055726,-0.479976803,-0.414409548,-0.377738357,-0.331238538,-0.372122079,-0.434875011,-0.445475101,-0.355230033,-0.364098519,-0.445909202,-0.434015781,-0.549443066,-0.557244956,-0.274941713,-0.284516692,-0.074287266,-0.08366286,-0.140874103,-0.400777549,
Armenia,ARM,Control of Corruption: Estimate,CC.EST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.47305131,,-0.936306059,,-0.848086238,,-0.778165162,-0.6490224,-0.703455329,-0.683349848,-0.669232607,-0.74589169,-0.712412357,-0.621459663,-0.69503957,-0.664559424,-0.58800149,-0.530450225,-0.565155387,-0.584427893,-0.637749076,-0.614445984,-0.385727823,-0.203820124,0.020228101,0.072149873,
American Samoa,ASM,Control of Corruption: Estimate,CC.EST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.791444957,0.789309144,0.299861044,0.308062404,0.317555279,0.347466081,0.328756839,0.310445875,0.299411148,0.303055048,1.220708609,1.215440273,1.223311424,1.836350203,1.841582656,1.840799809,1.311400652,1.325616956,
Antigua and Barbuda,ATG,Control of Corruption: Estimate,CC.EST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.869897187,,0.883366406,,0.861537576,,0.850210369,0.854120076,0.839856029,0.742446184,1.11961627,1.146967053,1.27677536,1.317764997,1.301772714,1.272298098,1.260530829,1.253548503,0.634897768,0.685850799,0.688038766,0.23745203,0.272347629,0.274131566,0.271396458,0.26372695,
Australia,AUS,Control of Corruption: Estimate,CC.EST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.877355814,,1.798129678,,1.862088323,,1.761436343,1.895287037,2.005868912,1.942667723,1.950813174,2.00087285,2.027342558,2.041763067,2.02361083,2.037909031,1.977507234,1.777870297,1.849464655,1.879955173,1.810914397,1.790856242,1.801110983,1.822144747,1.662498713,1.73749423,
Austria,AUT,Control of Corruption: Estimate,CC.EST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.732163548,,1.79937923,,1.751058698,,1.915159225,1.963868618,2.026624441,1.912423491,1.904876947,2.003345251,1.828758121,1.6940341,1.596122026,1.47028935,1.427254438,1.537240982,1.466749072,1.508799553,1.534534812,1.537821054,1.601476908,1.554295182,1.506872177,1.271236777,
Azerbaijan,AZE,Control of Corruption: Estimate,CC.EST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.445619464,,-1.289568424,,-1.292382717,,-1.195501924,-1.046231985,-1.18083179,-1.052521467,-1.095912457,-1.129073739,-1.156654239,-1.194081903,-1.245373249,-1.195314765,-1.142694116,-0.970375061,-1.022490263,-0.930738151,-0.831865549,-0.885625541,-0.831989169,-0.829964042,-1.057083011,-0.827584863,
Burundi,BDI,Control of Corruption: Estimate,CC.EST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.680634856,,-0.681749761,,-0.82470423,,-0.759896934,-0.874153018,-0.97840488,-0.95718044,-1.101503611,-1.166984916,-1.088232398,-1.132561207,-1.168900132,-1.208371162,-1.468606353,-1.426113844,-1.267834663,-1.266484857,-1.260349035,-1.304452658,-1.459785938,-1.480386734,-1.544021368,-1.580753326,
Belgium,BEL,Control of Corruption: Estimate,CC.EST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.359654307,,1.313234091,,1.446859002,,1.45780158,1.375112772,1.360382557,1.377162457,1.301286578,1.347415328,1.36263752,1.452005267,1.473829985,1.519928932,1.559110403,1.604302645,1.512950301,1.511199117,1.569267988,1.440446138,1.461817741,1.481857061,1.47522223,1.484489679,
